Titular,Categoria,predicted_categoria
Abriendo mercados: transformando la economia regional,Contenido patrocinado,Contenido patrocinado
Aviajar colombia s.a.s. denuncia uso inadecuado de su nombre,Contenido patrocinado,Contenido patrocinado
Siga en vivo la ceremonia de los premios portafolio 2024,Economia,Economia
Vea y descargue aqui la edicion digital de portafolio fin de semana,Economia,Opinion/analisis
Vea y descargue aqui la edicion digital de portafolio fin de semana,Economia,Opinion/analisis
"Ganaderos alertan sobre la inseguridad, la pobreza y el futuro del campo",Economia/agro,Economia/regiones
Desempleo en colombia: ocho de 13 actividades reportaron perdidas de puestos de trabajo,Economia/empleo,Economia/empleo
¿busca trabajo en bogota? la alcaldia tiene esta plataforma para conseguirlo rapido,Economia/empleo,Economia/empleo
Banco agrario: ¿como consultar un giro de la renta ciudadana?,Economia/finanzas,Economia/finanzas
Cdt: ¿por que invertir en ellos y como declararlos?,Economia/finanzas,Economia/finanzas
Colombia registra record en solicitud de asilo: es el segundo a nivel mundial,Economia/finanzas,Economia/finanzas
Devolucion de iva 2024: el link para consultar si soy beneficiario con mi cedula,Economia/finanzas,Economia/finanzas
Devolucion de iva 2024: el link para consultar si soy beneficiario con mi cedula,Economia/finanzas,Economia/finanzas
Estos son los numeros y colores que mas han caido en los sorteos de colorloto,Economia/finanzas,Economia/finanzas
Llego la navidad a la mayoria de acciones en la bolsa de valores de colombia,Economia/finanzas,Energia
¿cuando empieza a regir el nuevo precio del acpm en colombia?,Economia/finanzas,Economia/finanzas
¿que cursos hay en el sena sofia plus 2024?,Economia/finanzas,Economia/finanzas
¿que cursos hay en el sena sofia plus 2024?,Economia/finanzas,Economia/finanzas
"Cupo para obras por impuestos, en vilo por apretones de caja",Economia/gobierno,Economia/gobierno
"Minhacienda, mal parado en caso de corrupcion en la ungrd tras testimonio de exasesora",Economia/gobierno,Economia/gobierno
Petro le da espaldarazo a ricardo bonilla: 'es victima de otra trampa',Economia/gobierno,Politica/gobierno
"Carretera mulalo – loboguerrero, ¿mediante obra publica?",Economia/infraestructura,Sin categoría
"Plaza central, el primer centro comercial con leed platino o+m en colombia",Economia/infraestructura,Economia/infraestructura
"Plaza central, el primer centro comercial con leed platino o+m en colombia",Economia/infraestructura,Economia/infraestructura
Sacyr no se va del pais y tiene la lupa en linea 2 del metro y el estanquillo-popayan,Economia/infraestructura,Energia
Envian a prision preventiva a cuatro integrantes del eln por matar a un policia,Economia/regiones,Tecnologia
"Lo que se sabe del robo y tiroteo en la panaderia masa, en el norte de bogota",Economia/regiones,Bogota
Productores de cafe colombiano celebran record de precios en el mercado internacional,Economia/regiones,Mis finanzas/ahorro
Temporada navidena: estas son las actividades que prepara bogota,Economia/regiones,Negocios/empresas
Con su 'christmas wonderland' regresa la feria eva con mas de 420 emprendimientos,Emprendimiento,Emprendimiento
Festival de emprendimiento para jovenes en bogota supero los 14.000 asistentes,Emprendimiento,Emprendimiento
Colombia fortalecera su produccion de combustible saf para avion,Energia,Energia
Entre 2028 y 2029 entraran en operacion tres proyectos de transmision energetica,Energia,Energia
Futuro verde: perspectiva energetica y ganaderia sostenible,Energia,Energia
Gobierno expedira norma que pone topes al precio de generacion en bolsa,Energia,Energia
Repsol vende a geopark dos activos en colombia por 500 millones de euros,Energia,Energia
Sector minero alerta por efectos economicos y sociales del area de reserva en santurban,Energia,Energia
La cop16 de cali se reanudara en 2025 en italia para lograr acuerdo de financiacion,Internacional,Internacional
Las 10 zonas de america latina que mas desperdician comida,Internacional,Internacional
Las 10 zonas de america latina que mas desperdician comida,Internacional,Internacional
Los 12 acontecimientos mas importantes y trascendentales del mundo en el 2024,Internacional,Internacional
Los paises que importan mas alimentos podrian tener tasas mas elevadas de obesidad,Internacional,Internacional
Los paises que tienen la mayor influencia economica en el mundo,Internacional,Internacional
Por que panama cancelo el registro de seis buques sancionados por reino unido,Internacional,Internacional
Seguridad nuclear en ucrania quedo amenazada tras el mas reciente ataque ruso,Internacional,Internacional
Compensar celebro sus 46 anos con buenos resultados y grandes desafios,Mas contenido,Mas contenido
Compensar celebro sus 46 anos con buenos resultados y grandes desafios,Mas contenido,Mas contenido
"Ganaderia sostenible y biocombustibles, oportunidades clave para las regiones",Mas contenido,Mas contenido
Ropa deportiva en d1: estos son los nuevos productos de temporada de fin de ano,Mis finanzas/ahorro,Mis finanzas/ahorro
Cuando vence el plazo para elegir el fondo donde iria el excedente del ahorro pensional,Mis finanzas/jubilacion,Mis finanzas/jubilacion
"¿es pensionado? las ciudades de colombia donde viviria mejor, segun chatgpt",Mis finanzas/jubilacion,Cultura/gente
"¿es pensionado? las ciudades de colombia donde viviria mejor, segun chatgpt",Mis finanzas/jubilacion,Cultura/gente
¿es momento de comprar casa? como aprovechar los subsidios,Mis finanzas/vivienda,Mis finanzas/vivienda
¿es momento de comprar casa? como aprovechar los subsidios,Mis finanzas/vivienda,Mis finanzas/vivienda
Trabas logisticas 'amargan' el buen momento del cafe colombiano,Negocios/comercio,Economia/sectores
'los pacientes estan buscando en la estetica mas naturalidad': allergan aesthetics,Negocios/empresas,Negocios/empresas
"Archivan investigaciones contra fiat, amazon y starbucks por supuestas ayudas fiscales",Negocios/empresas,Negocios/empresas
"Archivan investigaciones contra fiat, amazon y starbucks por supuestas ayudas fiscales",Negocios/empresas,Negocios/empresas
Los lideres detras de ‘los mejores lugares para trabajar en colombia’,Negocios/empresas,Negocios/empresas
Noviembre registra un notable aumento del 18% en venta de vehiculos nuevos,Negocios/vehiculo,Negocios/vehiculo
¿carros japoneses o alemanes? estas son las marcas de vehiculos mas confiables,Negocios/vehiculo,Negocios/vehiculo
La mujer como ‘outsider’ parcial,Opinion/analisis,Opinion/analisis
Siempre hay salidas,Opinion/analisis,Opinion/analisis
Siempre hay salidas,Opinion/analisis,Opinion/analisis
¿es justa la condena de ciadi a colombia favoreciendo a telefonica? no,Opinion/analisis,Opinion/analisis
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Sin titular,Sin categoría,Sin categoría
Izumi: la innovadora fusion asiatica que trae lo mejor de japon y tailandia a bogota,Tendencias,Tendencias
Colombiano dejo canada porque encontro 'el trabajo de sus suenos' en su pais,Tendencias/sociales,Economia/empleo
"Los colores que eligen las personas poco inteligentes para vestirse, segun la ia",Tendencias/sociales,Cultura/gente
